a	a	a	a	a	a	aN
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa a	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa	a	0N
0-0-0	A	A	a	Aa a	a	0N
