"a://a.a.a/a-a-0.a-a-a-0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0.A Aa Aa 0Aa a a a a a | a.a",0,0,"Aa Aa 0.A Aa Aa 0Aa a a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0.A Aa Aa 0Aa a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0.A Aa Aa 0Aa a a a",0.0,0.0,,0,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A Aa 0.0 Aa a/a/a a a | a.a",0,0,"A A Aa 0.0 Aa a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A Aa 0.0 Aa a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A A Aa 0.0 Aa a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa 0 a a a | a.a",0,0,"Aa Aa Aa 0 a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa 0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa Aa 0 a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A 0 Aa a/a a a | a.a",0,0,"Aa Aa Aa A 0 Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A 0 Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa Aa A 0 Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa A0a 0 Aa a a a a | a.a",0,0,"Aa Aa A0a 0 Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa A0a 0 Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa A0a 0 Aa a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A AaAa 0.0 a/a/a a a | a.a",0,0,"A A AaAa 0.0 a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A AaAa 0.0 a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A A AaAa 0.0 a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A Aa 0.0 Aa a/a�/a a a a | a.a",0,0,"A A Aa 0.0 Aa a/a�/a a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A Aa 0.0 Aa a/a�/a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A A Aa 0.0 Aa a/a�/a a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A0 a Aa a a a a a | a.a",0,0,"Aa Aa Aa A0 a Aa a a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A0 a Aa a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa A0 a Aa a a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa a-a a a | a.a",0,0,"Aa Aa Aa a-a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa a-a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa a-a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa 0 a/a a a | a.a",0,0,"Aa Aa Aa 0 a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa 0 a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa 0&a; a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A AaAa 0.0 a/a/a a a | a.a",0,0,"A A AaAa 0.0 a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A AaAa 0.0 a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A A AaAa 0.0 a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 'A 0 Aa a a a a | a.a",0,0,"Aa Aa 'A 0 Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 'A 0 Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 'A 0 Aa a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0.a-a-a-0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0.A Aa Aa 0Aa a a a a | a.a",0,0,"Aa Aa 0.A Aa Aa 0Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0.A Aa Aa 0Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0.A Aa Aa 0Aa a a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa aA0a Aa a a a a | a.a",0,0,"Aa Aa aA0a Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa aA0a Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa aA0a Aa a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A:0 Aa a/a a a | a.a",0,0,"Aa Aa Aa A:0 Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A:0 Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","Aa Aa Aa A:0 Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A Aa 0.0 Aa a/a/a a a | a.a",0,0,"A A Aa 0.0 Aa a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A Aa 0.0 Aa a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A A Aa 0.0 Aa a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-a-0-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa Aa Aa 0 Aa Aa a/a a a | a.a",0,0,"Aa Aa Aa Aa Aa 0 Aa Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa Aa Aa 0 Aa Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa Aa Aa 0 Aa Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A0a Aa a a a a | a.a",0,0,"Aa Aa Aa A0a Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A0a Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa A0a Aa a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa A 0 Aa a a a | a.a",0,0,"Aa Aa A 0 Aa a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa A 0 Aa a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa A 0 Aa a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0.a-a-a-0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0.A Aa Aa 0Aa a a a a a | a.a",0,0,"Aa Aa 0.A Aa Aa 0Aa a a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0.A Aa Aa 0Aa a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0.A Aa Aa 0Aa a a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a0-0.0-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa� 0.0 0 a a a a a | a.a",0,0,"A Aa� 0.0 0 a a a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa� 0.0 0 a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A Aa� 0.0 0&a; a a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A AaAa 0.0 a/a/a a a | a.a",0,0,"A A AaAa 0.0 a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A AaAa 0.0 a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A A AaAa 0.0 a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0.0--a-0-0--A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A0.0+ A 0/0,0+ a a/a a/a a a a | a.a",0,0,"Aa Aa Aa A0.0+ A 0/0,0+ a a/a a/a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A0.0+ A 0/0,0+ a a/a a/a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa Aa A0.0+ A 0/0,0+&a; a a/a a/a a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0a-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A0a a Aa a a a a a | a.a",0,0,"Aa Aa Aa A0a a Aa a a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A0a a Aa a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa A0a a Aa a a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa 0 0,0 a a a | a.a",0,0,"A Aa 0 0,0 a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa 0 0,0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A Aa 0 0,0&a; a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A AaAa 0.0 a/a/a a a | a.a",0,0,"A A AaAa 0.0 a/a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A AaAa 0.0 a/a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A A AaAa 0.0 a/a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0.a-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0.A Aa Aa a a/a a a a a | a.a",0,0,"Aa Aa 0.A Aa Aa a a/a a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0.A Aa Aa a a/a a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0.A Aa Aa a a/a a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a--a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa A+ Aa Aa a a a | a.a",0,0,"Aa Aa A+ Aa Aa a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa A+ Aa Aa a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa A+ Aa Aa a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0.a-a-a-0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0.A Aa Aa 0Aa a a a a | a.a",0,0,"Aa Aa 0.A Aa Aa 0Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0.A Aa Aa 0Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0.A Aa Aa 0Aa a a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a0-a-0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A:0 A 0 a a a | a.a",0,0,"Aa Aa Aa A:0 A 0 a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A:0 A 0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa Aa A:0 A 0 a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A 0 Aa a/a a a | a.a",0,0,"Aa Aa Aa A 0 Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A 0 Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa A 0 Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa 0 Aa a a a a | a.a",0,0,"Aa Aa 0 Aa a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa 0 Aa a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa 0 Aa a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a0-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa� 0.0 a a a | a.a",0,0,"A Aa� 0.0 a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa� 0.0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A Aa� 0.0 a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a.-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa. Aa Aa a-a a a | a.a",0,0,"A Aa. Aa Aa a-a - a a.a a�a a! | Aa A Aa. Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa. Aa Aa a-a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A Aa. Aa Aa a-a",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa A 0 Aa a/a a a | a.a",0,0,"Aa Aa Aa A 0 Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa A 0 Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa A 0 Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0.0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A A Aa 0.0 a/a/a� a a | a.a",0,0,"A A Aa 0.0 a/a/a� - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A A Aa 0.0 a/a/a�",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A A Aa 0.0 a/a/a�",0.0,0.0,0.0,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A0 a a a | a.a",0,0,"A Aa A0 a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","A Aa A0 a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A A-A a/a a a | a.a",0,0,"A Aa A A-A a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A A-A a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A Aa A A-A a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A0a a/a a a | a.a",0,0,"A Aa A0a a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A0a a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","A Aa A0a a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A0 a a a | a.a",0,0,"A Aa A0 a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","A Aa A0 a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A A-A a/a a a | a.a",0,0,"A Aa A A-A a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A A-A a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","A Aa A A-A a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A0a a/a a a | a.a",0,0,"A Aa A0a a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A0a a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","A Aa A0a a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a0-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","A Aa A0 a/a a a | a.a",0,0,"A Aa A0 a/a - a a.a a�a a! | Aa A Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"A Aa A0 a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","A Aa A0 a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa 0 a a a | a.a",0,0,"Aa Aa Aa 0 a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa 0 a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa &a; Aa","","Aa Aa Aa 0 a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa Aa 0 Aa a/a a a | a.a",0,0,"Aa Aa Aa Aa 0 Aa a/a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa Aa 0 Aa a/a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa Aa","","Aa Aa Aa Aa 0 Aa a/a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
"a://a.a.a/a-a-a-0-a-A0.a?a=0&a=A0","a/a;a=A-0",0,"A","Aa","","Aa Aa Aa 0 a a a a | a.a",0,0,"Aa Aa Aa 0 a a - a a.a a�a a! | Aa Aa Aa? Aa? Aa? Aa? � Aa A a Aa Aa-Aa a 0a!",0,0,"",0,"Aa Aa Aa 0 a a",0,"Aa",0,"a, a","","","",0,0.0,0.0,"","","","0-0-0","0:0:0","0-0-0A0:0:0","A-Aa","A-Aa Aa","Aa Aa Aa 0 a a",0.0,0.0,,,0,0,0,0,"Aa",0,0,0,0,"Aa"N
